origin,time,time_utc_str,peer_asn,peer_ip,prefix,type,as_path
36459,1519838792.0,2018-02-28 17:26:32,1836,146.228.1.3,192.30.252.0/22,A,"['1836', '32787', '36459', '36459']"
36459,1519838793.0,2018-02-28 17:26:33,15562,165.254.255.2,192.30.255.0/24,A,"['15562', '2914', '1299', '36459', '36459']"
36459,1519838793.0,2018-02-28 17:26:33,15562,165.254.255.2,192.30.254.0/24,A,"['15562', '2914', '1299', '36459', '36459']"
36459,1519838796.0,2018-02-28 17:26:36,3333,193.0.0.56,192.30.252.0/22,A,"['3333', '1257', '1299', '36459', '36459']"
36459,1519838796.0,2018-02-28 17:26:36,3333,193.0.0.56,192.30.252.0/24,A,"['3333', '1257', '1299', '36459', '36459']"
36459,1519838796.0,2018-02-28 17:26:36,3333,193.0.0.56,192.30.252.0/23,A,"['3333', '1257', '1299', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,15562,165.254.255.2,192.30.252.0/22,A,"['15562', '2914', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,15562,165.254.255.2,192.30.253.0/24,A,"['15562', '2914', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,15562,165.254.255.2,192.30.252.0/23,A,"['15562', '2914', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,15562,165.254.255.2,192.30.252.0/24,A,"['15562', '2914', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,15562,165.254.255.2,192.30.252.0/22,A,"['15562', '2914', '32787', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,15562,165.254.255.2,192.30.253.0/24,A,"['15562', '2914', '1299', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,15562,165.254.255.2,192.30.252.0/23,A,"['15562', '2914', '1299', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,15562,165.254.255.2,192.30.252.0/24,A,"['15562', '2914', '1299', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,3333,193.0.0.56,192.30.252.0/22,A,"['3333', '1257', '1299', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,3333,193.0.0.56,192.30.252.0/24,A,"['3333', '1257', '1299', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,3333,193.0.0.56,192.30.252.0/23,A,"['3333', '1257', '1299', '36459', '36459']"
36459,1519838797.0,2018-02-28 17:26:37,3333,193.0.0.56,192.30.252.0/22,A,"['3333', '1257', '1299', '36459', '36459']"
