IP Prefix,ASNs
25.25.25.0/24,"AS13335, AS206747"
25.26.27.0/24,"AS13335, AS206747"
25.129.196.0/23,"AS13335, AS206747"
25.129.198.0/23,"AS13335, AS206747"
45.85.89.0/24,"AS13335, AS268624"
45.89.30.0/24,"AS13335, AS265919"
45.141.214.0/24,"AS13335, AS268624"
45.146.81.0/24,"AS13335, AS265919"
45.149.153.0/24,"AS13335, AS265919"
45.155.255.0/24,"AS13335, AS20200, AS400395"
62.228.230.0/24,"AS13335, AS24655"
77.246.245.0/24,"AS13335, AS268624"
80.94.90.0/24,"AS13335, AS268624"
81.31.212.0/24,"AS13335, AS211431"
82.24.40.0/24,"AS13335, AS265919"
89.35.2.0/23,"AS13335, AS34624"
89.35.174.0/23,"AS13335, AS34624, AS5539"
89.191.64.0/19,"AS13335, AS34624"
89.213.5.0/24,"AS13335, AS265919"
89.213.231.0/24,"AS13335, AS265919"
124.198.128.0/23,"AS13335, AS270824"
141.101.64.0/24,"AS13335, AS202623"
151.242.227.0/24,"AS13335, AS265919"
162.12.204.0/24,"AS13335, AS268624"
163.5.124.0/24,"AS13335, AS265919"
178.132.198.0/24,"AS13335, AS213920, AS265919"
185.55.134.0/24,"AS13335, AS20249"
185.55.135.0/24,"AS13335, AS20249"
185.112.244.0/24,"AS13335, AS203185"
185.112.245.0/24,"AS13335, AS203185"
185.112.246.0/24,"AS13335, AS203185"
185.146.173.0/24,"AS13335, AS396982"
185.201.69.0/24,"AS13335, AS205943, AS214012, AS47825"
185.212.144.0/24,"AS13335, AS139242"
191.96.81.0/24,"AS13335, AS265919"
192.115.0.0/21,"AS13335, AS31391"
203.159.80.0/24,"AS13335, AS268624"
212.6.39.0/24,"AS13335, AS15830"
212.18.114.0/24,"AS13335, AS265919"
2a08:600::/48,"AS13335, AS206747"
2a08:600:e0::/47,"AS13335, AS206747"
2a08:600:ee::/47,"AS13335, AS206747"
2a08:600:ff::/48,"AS13335, AS206747"
2a13:9644:4000::/40,"AS13335, AS204291"
