IP Prefix,ASNs
41.80.0.0/15,"AS198949, AS19905, AS33771, AS37061"
41.90.0.0/16,"AS198949, AS19905, AS33771, AS37061"
41.139.128.0/17,"AS198949, AS19905, AS33771, AS37061"
41.189.160.0/19,"AS19905, AS30986"
41.203.208.0/20,"AS198949, AS19905, AS33771, AS37061"
41.206.0.0/19,"AS19905, AS29465"
41.220.64.0/20,"AS19905, AS29465"
102.88.0.0/13,"AS19905, AS29465"
102.208.96.0/24,"AS19905, AS328988"
102.208.97.0/24,"AS19905, AS328988"
102.208.98.0/24,"AS19905, AS328988"
102.208.99.0/24,"AS19905, AS328988"
102.208.96.0/22,"AS19905, AS328988"
102.213.68.0/24,"AS19905, AS328988"
102.213.69.0/24,"AS19905, AS328988"
102.213.70.0/24,"AS19905, AS328988"
102.213.71.0/24,"AS19905, AS328988"
102.213.68.0/22,"AS19905, AS328988"
102.218.48.0/24,"AS19905, AS328988"
102.218.49.0/24,"AS19905, AS328988"
102.218.50.0/24,"AS19905, AS328988"
102.218.51.0/24,"AS19905, AS328988"
102.218.48.0/22,"AS19905, AS328988"
102.219.194.0/24,"AS19905, AS37025"
102.219.195.0/24,"AS19905, AS37025"
105.48.0.0/12,"AS198949, AS19905, AS33771"
105.160.0.0/13,"AS198949, AS19905, AS33771"
154.160.0.0/12,"AS19905, AS30986"
192.96.146.0/24,"AS16800, AS19905, AS3741"
196.6.228.0/24,"AS19905, AS37025"
196.96.0.0/12,"AS198949, AS19905, AS33771"
196.201.32.0/19,"AS19905, AS30986"
196.201.208.0/20,"AS198949, AS19905, AS33771"
197.176.0.0/13,"AS198949, AS19905, AS33771"
197.210.0.0/16,"AS19905, AS29465"
197.248.0.0/16,"AS198949, AS19905, AS33771, AS37061"
2001:43d0::/32,"AS198949, AS19905, AS33771, AS37061"
2c0f:f7c0::/32,"AS19905, AS30986"
2c0f:fe38::/32,"AS198949, AS19905, AS33771"
