IP Prefix,ASNs
1.179.246.0/24,"AS134166, AS198949"
1.179.247.0/24,"AS134166, AS198949"
61.88.116.0/24,"AS198949, AS7474"
61.88.223.0/24,"AS198949, AS37931"
66.116.192.0/18,"AS198949, AS26337, AS31898"
103.35.217.0/24,"AS125, AS198949"
103.49.122.0/24,"AS13335, AS152712, AS198949"
103.49.123.0/24,"AS13335, AS152712, AS198949"
103.65.239.0/24,"AS132822, AS198949"
103.153.57.0/24,"AS140162, AS198949"
103.153.251.0/24,"AS140162, AS198949"
103.232.224.0/24,"AS125, AS198949"
112.121.110.0/24,"AS198949, AS45761"
112.121.111.0/24,"AS198949, AS45761"
112.121.118.0/24,"AS198949, AS45761"
112.121.119.0/24,"AS198949, AS45761"
112.121.124.0/24,"AS198949, AS45761"
112.121.125.0/24,"AS198949, AS45761"
112.121.126.0/24,"AS198949, AS45761"
112.121.127.0/24,"AS198949, AS45761"
118.174.10.0/24,"AS134166, AS198949"
124.19.72.0/24,"AS198949, AS7474"
147.41.0.0/20,"AS198949, AS37978"
147.41.16.0/20,"AS198949, AS37978"
147.41.32.0/19,"AS198949, AS37978"
147.41.64.0/18,"AS198949, AS37978"
147.41.0.0/17,"AS198949, AS37978"
147.41.128.0/18,"AS198949, AS37978"
147.41.192.0/19,"AS198949, AS37978"
147.41.224.0/20,"AS198949, AS37978"
147.41.240.0/20,"AS198949, AS37978"
147.41.128.0/17,"AS198949, AS37978"
147.109.0.0/22,"AS198949, AS37978"
147.109.4.0/22,"AS198949, AS37978"
147.109.8.0/21,"AS198949, AS37978"
147.109.16.0/20,"AS198949, AS37978"
147.109.32.0/20,"AS198949, AS37978"
147.109.48.0/20,"AS198949, AS37978"
147.109.64.0/20,"AS198949, AS37978"
147.109.80.0/20,"AS198949, AS37978"
147.109.96.0/20,"AS198949, AS37978"
147.109.112.0/21,"AS198949, AS37978"
147.109.120.0/22,"AS198949, AS37978"
147.109.124.0/24,"AS198949, AS37978"
147.109.124.0/23,"AS198949, AS37978"
147.109.126.0/23,"AS198949, AS37978"
147.109.128.0/20,"AS198949, AS37978"
147.109.144.0/20,"AS198949, AS37978"
147.109.160.0/19,"AS198949, AS37978"
147.109.192.0/21,"AS198949, AS37978"
147.109.192.0/20,"AS198949, AS37978"
147.109.208.0/20,"AS198949, AS37978"
147.109.224.0/20,"AS198949, AS37978"
147.109.240.0/21,"AS198949, AS37978"
147.109.248.0/21,"AS198949, AS37978"
147.109.0.0/16,"AS198949, AS37978"
147.136.133.0/24,"AS138341, AS198949"
149.234.185.0/24,"AS141364, AS17675, AS198949"
149.234.187.0/24,"AS1221, AS141435, AS198949"
149.234.189.0/24,"AS1221, AS141435, AS198949"
149.234.190.0/24,"AS141364, AS17675, AS198949"
156.69.31.0/24,"AS198949, AS4648"
157.20.106.0/23,"AS150772, AS198949, AS3462"
180.180.242.0/24,"AS134166, AS198949"
180.180.243.0/24,"AS134166, AS198949"
180.180.244.0/24,"AS134166, AS198949"
180.180.245.0/24,"AS134166, AS198949"
180.180.247.0/24,"AS134166, AS198949"
192.26.232.0/24,"AS198949, AS37978"
192.107.101.0/24,"AS198949, AS37978"
192.190.61.0/24,"AS198949, AS37978"
202.7.8.0/21,"AS198949, AS37978"
202.80.109.0/24,"AS198949, AS45761"
202.80.110.0/24,"AS198949, AS45761"
203.5.121.0/24,"AS198949, AS37978"
203.13.96.0/24,"AS198949, AS7474"
203.13.98.0/24,"AS198949, AS7474"
203.13.123.0/24,"AS198949, AS7474"
203.13.125.0/24,"AS198949, AS7474"
203.13.126.0/24,"AS198949, AS7474"
203.13.127.0/24,"AS198949, AS7474"
203.13.128.0/24,"AS198949, AS7474"
203.13.129.0/24,"AS198949, AS7474"
203.18.96.0/23,"AS198949, AS37978"
203.113.14.0/24,"AS134166, AS198949"
203.113.95.0/24,"AS134166, AS198949"
203.114.98.0/24,"AS134166, AS198949"
203.114.102.0/24,"AS134166, AS198949"
203.184.180.0/24,"AS198949, AS45590"
210.61.3.0/24,"AS142005, AS198949"
210.61.114.0/24,"AS142005, AS198949"
210.242.83.0/24,"AS142005, AS198949"
210.242.118.0/24,"AS142005, AS198949"
210.242.123.0/24,"AS142005, AS198949"
210.242.186.0/24,"AS142005, AS198949"
220.101.72.0/24,"AS134065, AS198949"
2001:ec0:100::/40,"AS134166, AS198949"
