IP Prefix,ASNs
63.217.234.0/24,"AS32787, AS55034"
63.217.235.0/24,"AS32787, AS55034"
98.98.234.0/24,"AS21859, AS32787"
139.60.152.0/22,"AS14618, AS16509, AS174, AS209, AS29933, AS29960, AS3257, AS32787, AS3356, AS6461, AS7385, AS812"
162.247.216.0/22,"AS14618, AS16509, AS174, AS209, AS29933, AS29960, AS3257, AS32787, AS3356, AS6461, AS7385, AS812"
192.169.5.0/24,"AS32787, AS394043"
192.243.40.0/21,"AS32787, AS55034"
204.141.172.0/23,"AS32787, AS55034"
204.141.176.0/22,"AS32787, AS55034"
205.252.124.0/22,"AS32787, AS55034"
207.135.156.0/22,"AS14299, AS27007, AS32787"
209.8.50.0/24,"AS32787, AS55034"
209.8.51.0/24,"AS32787, AS55034"
