IP Prefix,ASNs
45.229.208.0/22,"AS198949, AS28327"
131.0.20.0/22,"AS198949, AS28327"
138.99.248.0/22,"AS198949, AS28130"
138.185.212.0/22,"AS198949, AS262482"
138.186.44.0/22,"AS198949, AS52771"
143.208.40.0/22,"AS198949, AS28130"
167.28.193.0/24,"AS198949, AS264729"
168.228.92.0/22,"AS198949, AS52771"
170.150.164.0/22,"AS198949, AS28130"
170.150.192.0/22,"AS198949, AS263506, AS52771"
170.233.152.0/24,"AS198949, AS264729"
170.233.153.0/24,"AS198949, AS264730"
170.238.170.0/24,"AS198949, AS264801"
170.238.171.0/24,"AS198949, AS264801"
170.238.170.0/23,"AS198949, AS264801"
177.23.252.0/22,"AS198949, AS61621"
177.55.32.0/20,"AS198949, AS262482"
177.107.216.0/21,"AS198949, AS263506, AS52771"
177.154.160.0/20,"AS198949, AS262288"
177.155.208.0/20,"AS198949, AS52771"
179.0.204.0/24,"AS19582, AS198949, AS27784"
179.63.8.0/22,"AS198949, AS272021"
181.196.18.0/24,"AS198949, AS28006"
186.42.193.0/24,"AS198949, AS28006"
186.46.74.0/24,"AS198949, AS28006"
186.178.8.0/24,"AS198949, AS27968"
186.227.96.0/20,"AS198949, AS28130"
186.251.144.0/22,"AS198949, AS28130"
186.251.148.0/22,"AS198949, AS28130"
187.19.96.0/20,"AS198949, AS28130"
187.109.192.0/20,"AS198949, AS53115"
189.50.80.0/20,"AS198949, AS28327"
190.11.20.0/24,"AS198949, AS27757, AS28011"
190.103.188.0/24,"AS198949, AS272154"
190.149.164.0/24,"AS198949, AS52451"
190.152.23.0/24,"AS198949, AS28006"
190.152.44.0/24,"AS198949, AS28006, AS28011"
190.152.45.0/24,"AS198949, AS28006, AS28011"
190.152.46.0/24,"AS198949, AS27757, AS28006, AS28011"
190.152.47.0/24,"AS198949, AS28006, AS28011"
190.152.52.0/24,"AS198949, AS19905, AS28011"
190.152.62.0/24,"AS198949, AS28006"
190.152.75.0/24,"AS198949, AS28006"
190.152.147.0/24,"AS198949, AS28006"
190.152.152.0/24,"AS198949, AS28011"
190.152.153.0/24,"AS198949, AS28006"
190.152.245.0/24,"AS198949, AS28006"
190.152.255.0/24,"AS198949, AS26613, AS27757, AS28006"
190.214.216.0/24,"AS198949, AS27948, AS28006, AS60725"
191.6.32.0/20,"AS198949, AS262288"
200.0.63.0/24,"AS19582, AS198949, AS27784"
200.1.175.0/24,"AS19551, AS198949, AS202, AS203, AS27989, AS3356"
200.10.209.0/24,"AS198949, AS27784, AS27947"
200.91.158.0/24,"AS198949, AS25773"
200.107.7.0/24,"AS198949, AS28006"
200.107.9.0/24,"AS198949, AS28006"
200.107.10.0/24,"AS198949, AS28006"
200.107.15.0/24,"AS198949, AS28006"
200.107.34.0/24,"AS198949, AS26613, AS28006"
200.107.61.0/24,"AS198949, AS28006"
200.119.142.0/24,"AS198949, AS52451"
200.125.193.0/24,"AS198949, AS28006"
200.125.206.0/24,"AS198949, AS26613, AS28006"
200.125.208.0/24,"AS198949, AS19905, AS28011"
200.125.247.0/24,"AS198949, AS28006"
201.219.1.0/24,"AS198949, AS28006"
2800:370:10::/48,"AS198949, AS28006"
2801:0:4d0::/48,"AS19582, AS198949, AS27784"
2801:1b:9000::/48,"AS198949, AS264729, AS264730"
2801:1a1::/44,"AS198949, AS272021"
2804:2688::/32,"AS198949, AS262482"
2804:48dc::/32,"AS198949, AS28327"
2804:4d3c::/32,"AS198949, AS61621"
2804:9154::/32,"AS198949, AS274634"
