IP Prefix,ASNs
2.59.68.0/22,"AS198949, AS60032"
2.59.72.0/22,"AS198949, AS60032"
5.57.96.0/19,"AS198949, AS49902"
5.100.144.0/21,"AS198949, AS58324"
5.252.60.0/22,"AS198949, AS60032"
5.252.88.0/22,"AS198949, AS60032"
37.58.128.0/17,"AS1299, AS16347, AS198949"
37.64.0.0/13,"AS15557, AS198949"
37.114.64.0/21,"AS198949, AS49540"
45.11.148.0/22,"AS198949, AS60032"
45.65.104.0/21,"AS198949, AS60032"
45.85.176.0/22,"AS198949, AS60032"
45.90.224.0/22,"AS198949, AS60032"
45.92.12.0/24,"AS12552, AS198949, AS202837, AS215403"
45.92.13.0/24,"AS12552, AS198949, AS202837, AS215403"
45.92.14.0/24,"AS198949, AS202837"
45.92.15.0/24,"AS198949, AS202837"
45.129.48.0/22,"AS198949, AS60032"
45.152.184.0/22,"AS198949, AS60032"
46.35.0.0/19,"AS15557, AS198949"
46.165.64.0/18,"AS198949, AS41272"
46.218.0.0/16,"AS15557, AS198949"
62.8.0.0/19,"AS15557, AS198949"
62.39.0.0/16,"AS15557, AS198949"
62.62.169.0/24,"AS12566, AS198949"
62.62.128.0/17,"AS15557, AS198949"
62.85.128.0/19,"AS198949, AS48179"
62.90.135.0/24,"AS1680, AS198949"
62.106.128.0/17,"AS15557, AS198949"
62.129.160.0/19,"AS15557, AS198949"
62.241.64.0/18,"AS15557, AS198949"
77.84.0.0/16,"AS198949, AS35632"
77.104.0.0/18,"AS12670, AS15557, AS198949"
77.128.0.0/13,"AS15557, AS198949, AS21502"
77.136.0.0/16,"AS15557, AS198949, AS21502"
77.137.196.0/22,"AS15557, AS198949"
77.137.200.0/21,"AS15557, AS198949"
77.137.208.0/20,"AS15557, AS198949"
77.137.224.0/19,"AS198949, AS49902"
77.140.0.0/14,"AS15557, AS198949, AS21502"
77.144.0.0/12,"AS15557, AS198949, AS21502"
77.192.0.0/12,"AS15557, AS198949, AS21502"
77.233.96.0/19,"AS198949, AS42117"
78.24.53.0/24,"AS198949, AS43937"
78.24.54.0/24,"AS198949, AS43937"
78.108.224.0/20,"AS198949, AS34306"
78.112.0.0/12,"AS15557, AS198949, AS21502"
78.152.128.0/19,"AS198949, AS49540"
78.155.128.0/19,"AS15557, AS198949"
78.159.0.0/19,"AS198949, AS43698"
