,Unnamed: 0.1,Unnamed: 0,target_ip,nr_attacker_ips,nr_attacker_ports,nr_target_ports,nr_packets,nr_bytes,max_ppm,start_posix_time,end_posix_time,asn,country-code,continent-code,date
4679141,3955594,25,10.22.60.100,58,1,58,134,5360,38,1626192001,1626192297,,??,??,2021-07-13
4679164,3955617,48,102.132.96.18,17,29,2,111,4440,38,1626192000,1626192287,32934,KE,AF,2021-07-13
4679168,3955621,52,102.132.96.27,7,10,1,39,1560,30,1626195839,1626196968,32934,KE,AF,2021-07-13
4679185,3955638,69,102.132.96.63,2,7,1,51,2040,42,1626192000,1626192299,32934,KE,AF,2021-07-13
4679200,3955653,84,103.132.245.64,2,2,22,174,6960,54,1626192000,1626192299,138311,IN,AS,2021-07-13
4679210,3955663,94,103.147.163.26,301941,64924,1,306197,12247880,10558,1626195787,1626197591,63526,BD,AS,2021-07-13
4679247,3955700,131,103.246.161.146,171,1,1,171,6840,50,1626192000,1626192299,9381,HK,AS,2021-07-13
4679268,3955721,152,103.40.172.173,760,3,868,877,35080,195,1626192000,1626192299,131274,HK,AS,2021-07-13
4679278,3955731,162,103.40.172.174,683,3,796,803,32120,178,1626192000,1626192299,131274,HK,AS,2021-07-13
4679288,3955741,172,103.40.172.189,686,3,782,792,31680,192,1626192001,1626192299,131274,HK,AS,2021-07-13
4679298,3955751,182,103.40.172.190,679,3,809,813,32520,181,1626192000,1626192299,131274,HK,AS,2021-07-13
4679313,3955766,197,103.95.221.0,4790,4265,1,4790,261224,1063,1626192000,1626192299,4837,CN,AS,2021-07-13
4679338,3955791,222,104.248.207.229,5062,4910,1,5080,221270,3889,1626196430,1626196644,14061,NL,EU,2021-07-13
4679343,3955796,227,104.82.149.182,2,4,1,41,1640,36,1626197820,1626198002,16625,GB,EU,2021-07-13
4679355,3955808,239,106.3.38.73,130,1,58,130,5200,32,1626192000,1626192296,23724_4808,CN,AS,2021-07-13
4679357,3955810,241,106.69.9.243,3183,1,1,3185,152880,465,1626195945,1626196544,7545,AU,OC,2021-07-13
4679389,3955842,273,110.138.81.249,128,3,13548,60482,2419280,1338,1626195958,1626198816,7713,ID,AS,2021-07-13
4679400,3955853,284,110.138.86.125,96,3,5934,6360,254400,1301,1626192001,1626192299,7713,ID,AS,2021-07-13
4679419,3955872,303,110.138.89.148,11,9,84,96,3840,43,1626192017,1626192297,7713,ID,AS,2021-07-13
4679420,3955873,304,110.138.89.148,59,10,439,446,17840,89,1626196283,1626197720,7713,ID,AS,2021-07-13
4679469,3955922,353,111.4.149.95,59,51,69,62,2480,30,1626197777,1626198831,9808,CN,AS,2021-07-13
4679515,3955968,399,113.134.203.7,60,2,61,61,2440,59,1626196640,1626196840,4134,CN,AS,2021-07-13
4679537,3955990,421,113.15.231.30,256,3,776,778,31120,765,1626192004,1626192288,4134,CN,AS,2021-07-13
4679538,3955991,422,113.15.231.30,507,3,1515,1515,60600,762,1626196536,1626196804,4134,CN,AS,2021-07-13
4679539,3955992,423,113.15.231.30,255,3,761,760,30400,760,1626197221,1626197517,4134,CN,AS,2021-07-13
4679540,3955993,424,113.15.231.30,508,2,1524,1524,60960,762,1626198082,1626198206,4134,CN,AS,2021-07-13
4679672,3956125,556,114.122.168.172,64,3,878,894,35760,384,1626192006,1626192142,23693,ID,AS,2021-07-13
4679731,3956184,615,114.34.220.229,97,1,1,97,3880,37,1626192002,1626192299,3462,TW,AS,2021-07-13
4679736,3956189,620,115.124.93.137,2,2,2,35,1400,34,1626195645,1626195761,58552,ID,AS,2021-07-13
4679742,3956195,626,115.124.93.139,2,4,2,47,1880,39,1626195645,1626195825,58552,ID,AS,2021-07-13
4679743,3956196,627,115.205.148.190,55,1,55,13,520,42,1626196653,1626196878,4134,CN,AS,2021-07-13
4679744,3956197,628,115.205.148.88,56,1,56,16,640,40,1626196653,1626196875,4134,CN,AS,2021-07-13
4679745,3956198,629,115.205.180.94,61,1,61,24,960,37,1626196653,1626196875,4134,CN,AS,2021-07-13
4679746,3956199,630,115.205.180.96,60,1,60,21,840,39,1626196653,1626196875,4134,CN,AS,2021-07-13
4679747,3956200,631,115.206.153.201,59,1,59,15,600,44,1626196653,1626196875,4134,CN,AS,2021-07-13
4679748,3956201,632,115.220.204.166,66,1,66,22,880,44,1626196653,1626196875,4134,CN,AS,2021-07-13
4679754,3956207,638,115.73.8.144,254,1,7,254,10160,75,1626192000,1626192245,7552,VN,AS,2021-07-13
4679765,3956218,649,115.79.31.65,20476,2,23373,33628,1345120,16407,1626196739,1626196955,7552,VN,AS,2021-07-13
4679865,3956318,749,119.123.240.162,734,3,1575,1078,43120,545,1626196042,1626196394,4134,CN,AS,2021-07-13
4679866,3956319,750,119.123.240.162,728,3,1531,1051,42040,584,1626197887,1626198250,4134,CN,AS,2021-07-13
4679923,3956376,807,119.45.157.33,571,569,567,571,34260,137,1626192001,1626192299,45090,CN,AS,2021-07-13
4679961,3956414,845,120.92.33.171,2,25,1,91,4648,30,1626196967,1626197869,59019,CN,AS,2021-07-13
4680028,3956481,912,122.9.12.91,118,1,118,118,4720,39,1626192080,1626192296,23724_4808,CN,AS,2021-07-13
4680029,3956482,913,122.9.12.91,723,1,701,723,28920,43,1626195682,1626198009,23724_4808,CN,AS,2021-07-13
4680066,3956519,950,123.192.232.114,68,1,1,68,2720,31,1626192000,1626192273,38841,TW,AS,2021-07-13
4680078,3956531,962,123.194.153.65,27,27,49,89,3560,36,1626196115,1626196481,9924,TW,AS,2021-07-13
4680107,3956560,991,124.253.221.118,135,10,16,135,5400,35,1626192000,1626192296,17917,IN,AS,2021-07-13
4680108,3956561,992,124.253.221.118,1153,12,116,1153,46120,51,1626195601,1626197801,17917,IN,AS,2021-07-13
4680125,3956578,1009,124.70.144.237,3893,1,1,4088,163520,1802,1626195862,1626196041,55990,CN,AS,2021-07-13
4680145,3956598,1029,124.70.42.30,509,1,475,509,20360,343,1626195624,1626195714,55990,CN,AS,2021-07-13
4680146,3956599,1030,124.70.42.30,472,1,437,472,18880,329,1626196668,1626196758,55990,CN,AS,2021-07-13
4680147,3956600,1031,124.70.42.30,504,1,444,504,20160,326,1626198501,1626198591,55990,CN,AS,2021-07-13
4680185,3956638,1069,124.70.87.128,2704,1,2455,2704,108160,1818,1626197116,1626197206,55990,CN,AS,2021-07-13
4680186,3956639,1070,124.70.87.128,6709,1,5348,6710,268400,2280,1626198051,1626198366,55990,CN,AS,2021-07-13
4680215,3956668,1099,124.71.153.179,5312,1,4424,6993,279720,4409,1626196861,1626196951,55990,CN,AS,2021-07-13
4680216,3956669,1100,124.71.153.179,7361,1,5726,9878,395120,5652,1626197704,1626197793,55990,CN,AS,2021-07-13
4680217,3956670,1101,124.71.153.179,4079,1,3563,2249,89960,5430,1626198582,1626198672,55990,CN,AS,2021-07-13
4680229,3956682,1113,125.121.234.192,60,1,60,15,600,45,1626196653,1626196875,4134,CN,AS,2021-07-13
4680230,3956683,1114,125.121.235.49,62,1,62,19,760,43,1626196653,1626196875,4134,CN,AS,2021-07-13
4680253,3956706,1137,125.227.35.13,877,1,866,877,35080,35,1626195600,1626198083,3462,TW,AS,2021-07-13
4680280,3956733,1164,128.116.122.3,2,19,1,79,3160,40,1626197839,1626198372,22697,US,,2021-07-13
4680281,3956734,1165,128.116.123.3,2,70,1,230,9200,57,1626197839,1626198859,22697,US,,2021-07-13
4680333,3956786,1217,13.107.42.23,1,8,1,128,6144,64,1626196392,1626196547,8068,US,,2021-07-13
4680334,3956787,1218,13.107.42.23,3,8,1,99,4736,32,1626197493,1626198200,8068,US,,2021-07-13
