origin,prefix
207291,2.57.236.0/24
132839,43.251.106.0/23
207291,141.136.38.0/24
55532,2.58.107.0/24
132839,45.149.68.0/22
132839,43.230.168.0/22
132839,154.92.64.0/19
132839,45.87.228.0/22
132839,45.64.108.0/22
132839,154.203.80.0/21
132839,154.92.32.0/19
132839,103.211.124.0/22
132839,103.195.192.0/22
132839,45.80.112.0/22
132839,45.10.208.0/22
132839,103.85.188.0/22
132839,45.114.168.0/22
132839,154.201.128.0/17
132839,120.89.68.0/22
132839,45.250.196.0/22
132839,45.147.212.0/22
132839,103.57.228.0/22
132839,154.213.96.0/19
132839,154.213.32.0/19
132839,43.229.212.0/22
132839,43.240.48.0/22
132839,103.37.42.0/23
132839,45.117.192.0/22
132839,103.40.112.0/22
132839,108.187.224.0/20
132839,45.127.124.0/22
132839,103.80.16.0/22
132839,45.142.76.0/22
132839,45.93.64.0/22
132839,103.42.176.0/22
132839,85.208.56.0/22
132839,103.196.60.0/22
132839,116.193.168.0/22
132839,103.54.124.0/22
132839,83.150.224.0/22
132839,23.235.128.0/19
132839,45.156.216.0/22
132839,45.9.108.0/22
132839,45.8.28.0/22
132839,103.36.20.0/22
132839,43.249.24.0/22
132839,103.37.40.0/23
132839,45.66.188.0/22
132839,144.48.124.0/22
132839,103.233.248.0/22
132839,103.75.12.0/22
132839,62.192.188.0/22
132839,92.118.144.0/22
132839,103.55.128.0/22
132839,23.225.128.0/21
132839,107.163.128.0/18
132839,103.219.104.0/22
132839,45.207.7.0/24
132839,103.75.44.0/22
132839,45.13.160.0/22
132839,103.215.212.0/22
132839,121.54.160.0/22
132839,103.60.148.0/22
132839,43.241.47.0/24
132839,45.127.36.0/22
132839,43.251.104.0/23
132839,154.209.96.0/19
132839,103.200.124.0/22
132839,107.151.64.0/18
132839,154.209.32.0/19
132839,117.120.60.0/22
132839,103.49.8.0/22
132839,154.195.192.0/18
132839,103.214.164.0/22
132839,154.203.88.0/23
132839,45.158.220.0/22
132839,45.115.124.0/22
132839,23.231.128.0/19
132839,103.49.248.0/22
132839,45.131.156.0/22
132839,43.241.44.0/24
132839,23.231.160.0/19
132839,45.156.168.0/22
132839,103.204.76.0/22
132839,154.203.90.0/24
132839,43.241.45.0/24
132839,43.241.46.0/24
132839,2.59.100.0/22
209029,2.59.52.0/24
18030,103.130.154.0/24
18030,103.130.155.0/24
209167,2.59.96.0/24
209167,2.59.99.0/24
55532,43.245.42.0/24
55532,202.9.94.0/23
55532,103.1.194.0/24
55532,43.245.43.0/24
55532,103.1.195.0/24
55532,43.245.40.0/24
55532,103.1.192.0/24
55532,43.245.41.0/24
55532,203.25.173.0/24
55532,103.1.193.0/24
207291,141.136.40.0/24
132839,160.124.192.0/19
132839,172.247.150.0/23
132839,160.124.128.0/19
132839,160.124.160.0/19
132839,160.124.96.0/19
132839,160.238.84.0/22
132839,172.247.152.0/21
132839,160.124.64.0/19
132839,193.42.149.0/24
132839,193.42.15.0/24
132839,193.108.96.0/23
132839,160.124.255.0/24
132839,157.119.92.0/22
132839,160.124.252.0/23
132839,172.247.140.0/23
132839,160.124.224.0/20
132839,192.151.248.0/21
132839,160.124.254.0/24
132839,156.252.64.0/18
132839,172.247.134.0/23
132839,193.42.135.0/24
132839,156.250.128.0/17
132839,154.213.224.0/19
132839,156.242.128.0/17
132839,193.168.4.0/23
132839,193.164.222.0/23
132839,192.250.240.0/20
132839,192.151.238.0/23
132839,172.247.136.0/22
132839,194.146.84.0/22
132839,154.216.32.0/19
132839,154.213.128.0/19
132839,160.124.248.0/22
132839,193.42.132.0/24
132839,154.216.64.0/18
132839,192.151.236.0/24
132839,160.124.0.0/19
132839,192.163.176.0/20
132839,182.161.68.0/22
132839,160.124.32.0/19
132839,154.220.32.0/19
132839,192.151.226.0/23
132839,185.51.164.0/22
132839,172.247.164.0/23
132839,202.165.120.0/22
132839,160.124.240.0/21
132839,192.151.232.0/22
132839,162.209.240.0/20
132839,172.247.160.0/22
132839,193.108.46.0/23
132839,192.151.228.0/23
132839,156.255.216.0/24
139646,154.219.5.0/24
59134,154.194.12.0/24
30103,147.124.114.0/23
30103,147.124.96.0/23
30103,147.124.112.0/23
30103,147.124.98.0/23
138915,154.206.12.0/24
1273,195.189.177.0/24
151847,103.168.172.0/24
140079,5.145.180.0/24
30103,147.124.102.0/23
30103,165.254.88.0/24
30103,170.114.152.0/23
30103,159.124.6.0/23
30103,162.255.36.0/24
30103,165.254.89.0/24
30103,162.255.37.0/24
30103,149.137.52.0/22
30103,159.124.172.0/23
30103,170.114.184.0/23
30103,162.255.38.0/24
30103,170.114.150.0/23
30103,159.124.4.0/23
30103,149.137.16.0/22
30103,159.124.2.0/23
30103,159.124.170.0/23
30103,170.114.182.0/23
30103,50.239.202.0/24
30103,170.114.156.0/23
30103,159.124.10.0/23
30103,149.137.24.0/21
30103,149.137.56.0/22
30103,170.114.154.0/23
30103,159.124.8.0/23
30103,149.137.20.0/22
30103,159.124.174.0/23
30103,170.114.186.0/23
30103,170.114.176.0/23
30103,162.12.234.0/23
30103,64.224.34.0/23
30103,159.124.164.0/23
30103,149.137.8.0/21
30103,64.211.144.0/24
30103,69.174.57.0/24
30103,159.124.162.0/23
30103,170.114.174.0/23
30103,120.29.148.0/24
30103,64.224.32.0/23
30103,103.122.167.0/24
30103,162.12.232.0/24
30103,162.12.233.0/24
30103,159.124.0.0/23
30103,64.224.38.0/23
30103,149.137.48.0/22
30103,159.124.168.0/23
30103,170.114.180.0/23
30103,65.39.152.0/24
30103,170.114.178.0/23
30103,64.224.36.0/23
30103,159.124.166.0/23
30103,149.137.36.0/22
30103,159.124.22.0/23
30103,64.125.62.0/24
30103,170.114.134.0/23
30103,170.114.168.0/23
30103,149.137.0.0/21
30103,170.114.166.0/23
30103,159.124.20.0/23
30103,8.5.128.0/23
30103,149.137.68.0/22
30103,69.174.110.0/23
30103,170.114.132.0/23
30103,103.122.166.0/24
30103,69.174.109.0/24
30103,159.124.160.0/23
30103,149.137.40.0/21
30103,170.114.138.0/23
30103,159.124.24.0/23
30103,170.114.170.0/23
30103,170.114.136.0/23
30103,170.114.160.0/23
30103,159.124.14.0/23
30103,149.137.60.0/22
30103,149.137.64.0/24
30103,159.124.12.0/23
30103,170.114.158.0/23
30103,69.174.108.0/24
30103,149.137.32.0/22
30103,170.114.164.0/23
30103,159.124.18.0/23
30103,50.239.203.0/24
30103,170.114.130.0/23
30103,50.239.204.0/24
30103,170.114.162.0/23
30103,159.124.16.0/23
30103,170.114.128.0/23
140079,5.145.181.0/24
209068,5.182.132.0/22
205282,213.130.74.0/24
205282,5.181.161.0/24
141366,45.249.99.0/24
34960,5.149.6.0/24
34960,5.149.7.0/24
34960,5.149.1.0/24
34960,5.149.2.0/24
34960,194.126.144.0/24
34960,5.149.3.0/24
34960,194.126.145.0/24
34960,5.149.4.0/24
34960,5.149.0.0/24
34960,185.120.92.0/24
14717,5.133.75.0/24
30103,147.124.100.0/23
30103,147.124.104.0/23
205455,23.141.168.0/24
55383,103.1.251.0/24
270631,177.136.11.0/24
55383,27.125.204.0/24
2639,165.173.177.0/24
55383,27.125.205.0/24
55383,27.125.207.0/24
270631,142.0.64.0/24
270631,177.136.10.0/24
270631,142.0.65.0/24
270631,142.0.66.0/24
270631,142.0.67.0/24
38638,111.92.246.0/24
38638,111.92.247.0/24
38638,182.23.210.0/24
38638,27.123.12.0/24
38638,103.7.236.0/24
38638,27.123.13.0/24
38638,27.123.14.0/24
38638,27.123.15.0/24
38638,27.123.8.0/24
38638,27.123.11.0/24
57276,195.250.16.0/24
57276,195.250.17.0/24
57276,195.250.19.0/24
57276,37.157.32.0/22
57276,82.163.126.0/23
57276,82.163.124.0/23
57276,37.157.36.0/22
57276,82.163.112.0/22
57276,82.163.116.0/22
57276,185.53.226.0/23
57276,185.53.224.0/23
393792,161.38.212.0/23
393792,161.38.210.0/23
393792,8.36.70.0/24
393792,161.38.208.0/23
393792,8.45.131.0/24
393792,8.30.173.0/24
197651,31.177.16.0/22
197651,185.217.104.0/22
394303,67.202.70.0/24
394303,23.29.132.0/24
394303,208.117.4.0/24
394303,207.241.196.0/22
394303,208.117.38.0/24
394303,50.31.98.0/23
394303,50.31.65.0/24
394303,208.100.53.0/24
394303,69.162.173.0/24
394303,74.121.204.0/22
394303,50.31.30.0/24
394303,69.162.134.0/24
394303,216.185.212.0/22
394303,167.253.104.0/22
394303,38.65.224.0/22
394303,50.31.116.0/24
394303,23.29.145.0/24
394303,38.58.224.0/21
394303,50.31.119.0/24
394303,50.31.78.0/24
394303,198.175.24.0/22
394303,50.31.114.0/24
23291,63.78.207.0/24
23291,63.85.49.0/24
36776,147.124.184.0/24
36776,185.49.234.0/24
36776,74.114.192.0/24
36776,147.124.185.0/24
36776,147.124.180.0/22
36776,74.114.193.0/24
36776,185.111.40.0/24
36776,198.105.205.0/24
36776,103.169.228.0/24
36776,198.105.206.0/24
36776,103.169.229.0/24
36776,198.105.207.0/24
36776,198.105.201.0/24
36776,198.105.202.0/24
36776,198.105.203.0/24
36776,198.105.204.0/24
36776,208.69.29.0/24
36776,147.124.176.0/22
36776,208.69.31.0/24
36776,198.105.200.0/24
36776,209.14.129.0/24
36776,208.69.28.0/24
36776,212.187.211.0/24
36776,38.107.71.0/24
36776,162.213.152.0/24
36776,185.111.42.0/24
36776,162.213.153.0/24
36776,185.111.43.0/24
36776,162.213.155.0/24
4373,193.240.184.0/24
