source,org-name,prefix_root,prefix,created,netname,org,mnt-by,last-modified,exact_origin,country_root,country
AFRINIC,Nile Online,217.52.0.0/14,217.52.16.0/24,,EG-AUC,,O-MAHMOUD,,AS36992;AS36992,EG,EG
AFRINIC,Nile Online,217.52.0.0/14,217.52.200.0/24,,EG-ASC,,O-MAHMOUD,,AS36992,EG,EG
AFRINIC,Nile Online,217.52.0.0/14,217.52.80.0/24,,EG-AMCHAM,,O-MAHMOUD,,AS36992,EG,EG
AFRINIC,Nile Online,62.114.0.0/16,62.114.252.0/24,,EG-NILEONLINE,,O-MAHMOUD,,AS36992,EG,EG
AFRINIC,Nile Online,62.114.0.0/16,62.114.253.0/24,,EG-NILEONLINE,,O-MAHMOUD,,AS36992,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.97.0/24,,MCIT,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.99.0/24,,MCIT-Projects,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.102.0/24,,EGY-ERTU,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.104.0/24,,MCIT-eGOV,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.103.0/24,,MCIT-eGOV,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.105.0/24,,MCIT-eGOV,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.106.0/24,,NTRA,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.107.0/24,,MCIT_Network,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.108.0/24,,MCIT_Network,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.109.0/24,,MCIT_Network,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,Ministry of Communications and Information Technology,81.21.96.0/20,81.21.96.0/24,,NTRA-SUBNET2,,CAIX-MNT,,AS31065,EG,EG
AFRINIC,South African Post Office,165.8.0.0/14,165.8.0.0/16,,SAPOSNET1,,TF-165-8-0-0-165-11-255-255-MNT,,AS5713,ZA,ZA
AFRINIC,Nile Online,84.36.0.0/16,84.36.40.0/21,,Premium-IP-Alex,ORG-EA19-AFRINIC,EGYNET-MNT,,AS36992,EG,EG
AFRINIC,Nile Online,84.36.0.0/16,84.36.64.0/21,,Premium-IP-Tanta,ORG-EA19-AFRINIC,EGYNET-MNT,,AS36992,EG,EG
AFRINIC,Nile Online,84.36.0.0/16,84.36.104.0/24,,Premium-IP-Cairo,ORG-EA19-AFRINIC,EGYNET-MNT,,AS36992,EG,EG
AFRINIC,Nile Online,84.36.0.0/16,84.36.109.0/24,,Premium-IP-Alex,ORG-EA19-AFRINIC,EGYNET-MNT,,AS36992,EG,EG
AFRINIC,Nile Online,84.36.0.0/16,84.36.110.0/23,,Premium-IP-Alex,ORG-EA19-AFRINIC,EGYNET-MNT,,AS36992,EG,EG
AFRINIC,IDSC,163.121.0.0/16,163.121.128.0/17,,TE-DATA-Network,ORG-IA17-AFRINIC,AFRINIC-HM-MNT IDSC-RIPE-MNT,,AS8452,EG,EG
AFRINIC,Cyberspace Limited,212.100.64.0/19,212.100.64.0/24,,CYBERSPACE,,LIR-NG-CYBERSPACE-MNT,,AS20598,NG,NG
AFRINIC,Cyberspace Limited,212.100.64.0/19,212.100.71.0/24,,VISAFONE,,LIR-NG-CYBERSPACE-MNT,,AS20598,NG,NG
AFRINIC,Cyberspace Limited,212.100.64.0/19,212.100.65.0/24,,CYBERSPACE,,LIR-NG-CYBERSPACE-MNT,,AS20598,NG,NG
AFRINIC,Cyberspace Limited,212.100.64.0/19,212.100.67.0/24,,CYBERSPACE,,LIR-NG-CYBERSPACE-MNT,,AS20598,NG,NG
AFRINIC,Cyberspace Limited,212.100.64.0/19,212.100.68.0/24,,CYBERSPACE,,LIR-NG-CYBERSPACE-MNT,,AS20598,NG,NG
AFRINIC,Cyberspace Limited,212.100.64.0/19,212.100.70.0/24,,Cyberspace,,LIR-NG-CYBERSPACE-MNT,,AS20598,NG,NG
