source,org-name,prefix_root,prefix,created,netname,org,mnt-by,last-modified,exact_origin,country_root,country
APNIC,SingNet Pte Ltd,203.126.0.0/15,203.127.108.0/24,,SINTELIX-SG,,MAINT-SG-SINGNET,2021-01-20T13:21:07Z,AS7473,SG,SG
APNIC,SingNet Pte Ltd,203.126.0.0/15,203.127.225.0/24,,GLOBE-COMM,,MAINT-SG-SINGNET,2011-11-03T01:49:50Z,AS17894,SG,PH
APNIC,SaveCom International Inc.,210.208.64.0/19,210.208.72.0/21,,SAVECOM,,TWIX-AP,2008-09-04T06:49:46Z,AS9676,TW,TW
APNIC,SaveCom International Inc.,210.208.64.0/19,210.208.81.0/24,,GNET,,TWIX-AP,2008-09-04T06:50:56Z,AS7532,TW,TW
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.152.0/24,,DEACONS-HK,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:52:21Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.101.0/24,,ALCATEL-HK,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:54:16Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.103.0/24,,DAIRYFARM-HK,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:55:49Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.70.0/24,,DIGITALNETWORK-HK,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:25Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.122.0/24,,China-Everbright,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:40Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.13.0/24,,M--R-Forwarding,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:40Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.141.0/24,,China-Patent-Agent-HK-Ltd,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:40Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.15.0/24,,OFTA-OFTA,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:40Z,AS9538,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.169.0/24,,Shui-On-Holdings-Ltd,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:40Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.227.0/24,,Perfecta-Dyeing-Printing--Weaving-Work-Ltd,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:41Z,AS4760,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.30.0/24,,DATALINK-BUSINESS-SOLUTIONS-LIMITED,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:41Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.42.0/24,,Global-Logistics-System,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:41Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.72.0/24,,JUPITER-GLOBAL-LIMITED,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:42Z,AS4760,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.75.0/24,,LE-SAUNDA-MANAGEMENT-LTD,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:42Z,AS4760,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.61.0/24,,Giordano-Ltd,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:42Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.84.0/24,,Giordano-Ltd,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:54Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.248.0/24,,Leo-Burnett-Ltd,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:55Z,AS9444,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.249.0/24,,Leo-Burnett-Ltd,,MAINT-HK-PCCW-BIA-CS,2008-09-04T06:58:55Z,AS9444,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),202.82.0.0/16,202.82.77.0/24,,MVA-HK,,MAINT-HK-PCCW-BIA-CS,2008-09-04T07:01:28Z,AS4515,HK,HK
APNIC,Hutchison Whampoa Ltd.,202.45.64.0/19,202.45.68.0/24,,HGC,,MAINT-HK-HGCADMIN,2008-09-04T06:54:08Z,AS131280,HK,HK
APNIC,Spark New Zealand Trading Limited,219.88.0.0/15,219.88.128.0/20,,ORCON-NZ,,MAINT-NZ-SPARK,2021-01-10T22:10:30Z,AS9790,NZ,NZ
APNIC,Spark New Zealand Trading Limited,219.88.0.0/15,219.88.240.0/20,,ORCON-NZ,,MAINT-NZ-SPARK,2021-01-10T22:10:28Z,AS9790,NZ,NZ
APNIC,Spark New Zealand Trading Limited,210.54.128.0/17,210.54.148.0/22,,ORCON-NZ,,MAINT-NZ-SPARK,2021-01-10T22:10:31Z,AS9790,NZ,NZ
APNIC,ERNET India,202.41.64.0/18,202.41.94.0/24,,SAHA-IN,,MAINT-AP-ERNET-INDIA,2008-09-04T06:58:19Z,AS4755,IN,IN
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),203.86.128.0/19,203.86.128.0/20,,HKT-BIA,,MAINT-HK-PCCW-BIA-CS,2021-01-27T13:24:55Z,AS4515,HK,HK
APNIC,PCCW IMS Ltd (PCCW Business Internet Access),203.86.128.0/19,203.86.144.0/24,,EDGETGHK-HK,,MAINT-HK-IMS-CS,2022-05-13T07:10:36Z,AS40513,HK,HK
APNIC,iiNet Limited,202.55.144.0/20,202.55.153.0/24,,YLESS4U,,MAINT-AU-TRANSACT1,2008-09-04T06:58:38Z,AS45447,AU,au
APNIC,iiNet Limited,58.6.0.0/15,58.6.72.0/21,,BROADBANDNET-AU,,MAINT-AU-WESTNET,2008-09-04T07:03:33Z,AS7545,AU,AU
APNIC,Speedcast Limited,203.88.64.0/19,203.88.89.0/24,,SPEEDCAST-HK,,MAINT-HK-SPEEDCAST,2008-09-04T07:07:08Z,AS4913,HK,HK
APNIC,Corpita Pty Ltd,203.90.24.0/21,203.90.31.0/24,,CORPITA-NET-BYT,,MAINT-AU-CORPITA,2020-06-10T01:41:45Z,AS55581,AU,AU
APNIC,Verizon Communications Singapore Pte Limited,202.95.64.0/19,202.95.78.0/24,,ARINSO-SG,,MAINT-DNS-UUNET,2008-09-04T07:06:49Z,AS395753,SG,SG
APNIC,Verizon Hong Kong Limited,203.193.0.0/18,203.193.26.0/24,,ARROW-HK,,MAINT-DNS-UUNET,2008-09-04T07:08:44Z,AS24304,HK,HK
APNIC,Verizon Hong Kong Limited,203.193.0.0/18,203.193.19.0/24,,UU-203-193-19-0,,MAINT-DNS-UUNET,2021-06-10T18:40:48Z,AS18692,HK,HK
APNIC,Verizon Hong Kong Limited,203.193.0.0/18,203.193.21.0/24,,VZ-Cust,,MAINT-DNS-UUNET,2021-09-29T15:46:10Z,AS209242,HK,HK
APNIC,New Skies Satellites B.V.,210.5.192.0/18,210.5.255.0/24,,Newwave-AU,,MAINT-AP-NSS,2021-02-24T13:06:03Z,AS12684,HK,AU
APNIC,New Skies Satellites B.V.,210.5.192.0/18,210.5.208.0/22,,SES-AU,,MAINT-AP-NSS,2023-05-26T14:52:03Z,AS12684,HK,AU
APNIC,New Skies Satellites B.V.,210.5.192.0/18,210.5.224.0/21,,SES-HK,,MAINT-AP-NSS,2023-05-30T06:37:21Z,AS12684,HK,HK
APNIC,TRUE INTERNET CORPORATION CO. LTD.,122.144.24.0/21,122.144.24.0/24,,TIG-LOOP-BACK,,MAINT-TRUEINTERNETGATEWAY-TH,2008-09-04T07:13:24Z,AS38082,TH,TH
APNIC,TRUE INTERNET CORPORATION CO. LTD.,122.144.24.0/21,122.144.29.0/24,,TIG-NET-MGT,,MAINT-TRUEINTERNETGATEWAY-TH,2008-10-13T13:21:24Z,AS38081;AS55554,TH,TH
APNIC,TRUE INTERNET CORPORATION CO. LTD.,122.144.24.0/21,122.144.30.0/24,,TIG-DIX-LOOPBACK,,MAINT-TRUEINTERNETGATEWAY-TH,2008-09-04T07:13:24Z,AS38081;AS55554,TH,TH
APNIC,TRUE INTERNET CORPORATION CO. LTD.,122.144.24.0/21,122.144.25.0/24,,TIG-DIX-CUST-WAN,,MAINT-TRUEINTERGATEWAY-TH,2022-02-01T14:32:38Z,AS38082,TH,TH
APNIC,AAPT Limited,203.111.128.0/18,203.111.190.0/23,,ELMTREECONSULTINGSERVICESPTYLT,,MAINT-AU-AAPT,2021-05-19T13:18:36Z,AS7545,AU,AU
