source,org-name,prefix_root,prefix,created,netname,org,mnt-by,last-modified,exact_origin,country_root,country
LACNIC,,24.152.116.0/22,24.152.118.0/24,2023-06-09,,,,,AS269316,BR,BR
LACNIC,,45.4.84.0/22,45.4.85.0/24,2022-04-11,,,,,AS262234,HN,HN
LACNIC,,45.4.84.0/22,45.4.86.0/24,2020-06-11,,,,,AS262234,HN,HN
LACNIC,,45.4.204.0/22,45.4.204.0/23,2019-10-29,,,,,AS198636,HN,UK
LACNIC,,45.5.20.0/22,45.5.23.0/24,2023-11-02,,,,,AS273044,AR,AR
LACNIC,,45.70.200.0/23,45.70.200.0/24,2017-10-10,,,,,AS52468,EC,EC
LACNIC,,45.70.200.0/23,45.70.201.0/24,2017-10-10,,,,,AS52468,EC,EC
LACNIC,,45.70.202.0/23,45.70.202.0/24,2017-10-05,,,,,AS52468,EC,EC
LACNIC,,45.70.202.0/23,45.70.203.0/24,2017-10-05,,,,,AS52468,EC,EC
LACNIC,,45.71.252.0/22,45.71.253.0/24,2023-04-13,,,,,AS272954,EC,EC
LACNIC,,45.160.144.0/22,45.160.146.0/24,2021-05-17,,,,,AS264161,BR,BR
LACNIC,,45.161.168.0/22,45.161.169.0/24,2020-10-23,,,,,AS28093,AR,AR
LACNIC,,45.161.212.0/22,45.161.215.0/24,2023-05-03,,,,,AS272443,BR,BR
LACNIC,,45.162.168.0/22,45.162.168.0/24,2020-07-24,,,,,AS18747;AS52468,AR,AR
LACNIC,,45.162.168.0/22,45.162.169.0/24,2021-06-14,,,,,AS18747;AS52468,AR,AR
LACNIC,,45.166.72.0/22,45.166.73.0/24,2024-01-26,,,,,AS266771,CL,CL
LACNIC,,45.166.92.0/22,45.166.92.0/24,2020-12-31,,,,,AS263725,HN,HN
LACNIC,,45.166.92.0/22,45.166.93.0/24,2021-01-24,,,,,AS263725,HN,HN
LACNIC,,45.167.4.0/22,45.167.4.0/23,2023-09-22,,,,,AS273738,BR,BR
LACNIC,,45.167.156.0/22,45.167.156.0/24,2019-10-15,,,,,AS263157,MX,MX
LACNIC,,45.167.156.0/22,45.167.157.0/24,2019-10-15,,,,,AS263157;AS263157,MX,MX
LACNIC,,45.167.156.0/22,45.167.158.0/24,2019-10-15,,,,,AS263157,MX,MX
LACNIC,,45.167.156.0/22,45.167.159.0/24,2019-10-15,,,,,AS263157;AS263157,MX,MX
LACNIC,,45.167.244.0/22,45.167.246.0/24,2023-03-25,,,,,AS273756,BR,BR
LACNIC,,45.170.132.0/22,45.170.134.0/24,2020-04-30,,,,,AS265554,CO,AR
LACNIC,,45.170.132.0/22,45.170.135.0/24,2021-03-22,,,,,AS265554,CO,CL
LACNIC,,45.171.80.0/23,45.171.80.0/24,2020-03-18,,,,,AS264856,AR,AR
LACNIC,,45.172.16.0/22,45.172.19.0/24,2023-03-15,,,,,AS264619,AR,AR
LACNIC,,45.173.4.0/22,45.173.6.0/23,2019-03-30,,,,,AS262191,CO,CO
LACNIC,,45.173.232.0/22,45.173.234.0/24,2022-09-08,,,,,AS272263,BR,BR
LACNIC,,45.174.56.0/22,45.174.57.0/24,2022-12-29,,,,,AS270187,MX,MX
LACNIC,,45.175.64.0/22,45.175.64.0/24,2019-11-20,,,,,AS263686,HN,HN
LACNIC,,45.175.64.0/22,45.175.65.0/24,2019-11-20,,,,,AS263686,HN,HN
LACNIC,,45.175.64.0/22,45.175.66.0/24,2019-11-20,,,,,AS263686,HN,HN
LACNIC,,45.175.64.0/22,45.175.67.0/24,2019-11-20,,,,,AS263686,HN,HN
LACNIC,,45.175.164.0/22,45.175.165.0/24,2019-07-03,,,,,AS267699,EC,EC
LACNIC,,45.175.164.0/22,45.175.167.0/24,2021-02-05,,,,,AS267699,EC,EC
LACNIC,,45.176.232.0/22,45.176.234.0/24,2022-04-20,,,,,AS27951;AS3549,CO,CO
LACNIC,,45.179.254.0/23,45.179.254.0/24,2024-02-12,,,,,AS267829,AR,AR
