prefix,provider,origin,time,as_path,scrubber,t_start,t_end
185.211.78.0/24,13335,32708,1733318738.0,"['197580', '13335', '32708']",13335,1733319504,1733320749
185.211.78.0/24,13335,32708,1733321670.0,"['6667', '13335', '32708']",13335,1733319504,1733320749
185.211.78.0/24,13335,32708,1733322455.0,"['51519', '13335', '32708']",13335,1733319504,1733320749
103.85.74.0/24,17433,152320,1733293479.0,"['199524', '174', '137409', '17433', '152320']","199524,137409",1733294068,1733294920
103.85.74.0/24,17433,152320,1733293483.0,"['199524', '174', '137409', '17433', '152320']","199524,137409",1733294068,1733294920
103.85.74.0/24,17433,152320,1733293491.0,"['1403', '6461', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733293506.0,"['174', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733293527.0,"['48237', '174', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733293899.0,"['13030', '6461', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295599.0,"['213151', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295736.0,"['174', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295738.0,"['199524', '174', '137409', '17433', '152320']","199524,137409",1733294068,1733294920
103.85.74.0/24,17433,152320,1733295749.0,"['199524', '174', '137409', '17433', '152320']","199524,137409",1733294068,1733294920
103.85.74.0/24,152320,152320,1733295761.0,"['35280', '152320', '152320']",35280,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295764.0,"['14840', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295764.0,"['14840', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['917', '60068', '37468', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['14907', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['14840', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['18041', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['18041', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['49544', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['151381', '150369', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['20080', '137409', '17433', '152320']",137409,1733294068,1733294920
103.85.74.0/24,17433,152320,1733295765.0,"['61292', '137409', '17433', '152320']",137409,1733294068,1733294920
