Unnamed: 0,prefix,provider,origin,time,as_path,scrubber
0,91.197.6.0/24,62000,199088,1733239424,"['198150', '137409', '62000', '199088']",137409
1,91.197.6.0/24,62000,199088,1733240995,"['3399', '137409', '62000', '199088']",137409
2,135.84.243.0/24,32787,55303,1733233551,"['553', '6461', '32787', '55303']",32787
3,135.84.243.0/24,32787,55303,1733233590,"['19151', '32787', '55303']",32787
4,135.84.243.0/24,32787,55303,1733235390,"['19151', '32787', '55303']",32787
5,135.84.243.0/24,32787,55303,1733235771,"['213151', '34549', '32787', '55303']",32787
24,66.118.232.0/22,13335,399244,1733188351,"['13030', '13335', '399244']",13335
25,66.118.232.0/22,13335,399244,1733188989,"['6830', '13335', '399244']",13335
26,5.108.48.0/20,48237,35819,1733193424,"['396998', '9002', '48237', '35819']",396998
27,5.108.48.0/20,48237,35819,1733194314,"['396998', '9002', '48237', '35819']",396998
30,5.106.128.0/17,49666,197207,1733260776,"['199524', '3491', '39533', '49666', '197207']",199524
31,31.214.212.0/22,174,34309,1733196752,"['149794', '132559', '9498', '174', '34309']",34309
32,31.214.212.0/22,13030,34309,1733197182,"['13030', '34309']",34309
33,23.227.38.0/23,267056,13335,1733241393,"['263237', '268860', '267056', '13335']",13335
34,23.227.38.0/23,267056,13335,1733241393,"['270014', '263237', '268860', '267056', '13335']",13335
35,23.227.38.0/23,28329,13335,1733241420,"['263237', '28329', '13335']",13335
36,23.227.38.0/23,6057,13335,1733241421,"['270014', '6057', '13335']",13335
37,23.227.38.0/23,212483,13335,1733241656,"['212483', '13335']",13335
38,23.227.38.0/23,212483,13335,1733241656,"['212483', '13335']",13335
39,23.227.38.0/23,212483,13335,1733241730,"['212483', '13335']",13335
40,23.227.38.0/23,212483,13335,1733241730,"['212483', '13335']",13335
41,23.227.38.0/23,3257,13335,1733241860,"['57821', '12586', '3257', '13335']",13335
42,23.227.38.0/23,267056,13335,1733241994,"['263237', '268860', '267056', '13335']",13335
43,23.227.38.0/23,267056,13335,1733241994,"['270014', '263237', '268860', '267056', '13335']",13335
44,23.227.38.0/23,6057,13335,1733242021,"['270014', '6057', '13335']",13335
45,23.227.38.0/23,28329,13335,1733242021,"['263237', '28329', '13335']",13335
46,23.227.38.0/23,267056,13335,1733243208,"['270014', '263237', '268860', '267056', '13335']",13335
47,23.227.38.0/23,267056,13335,1733243208,"['263237', '268860', '267056', '13335']",13335
48,23.227.38.0/23,6057,13335,1733243235,"['270014', '6057', '13335']",13335
49,23.227.38.0/23,28329,13335,1733243236,"['263237', '28329', '13335']",13335
50,35.199.0.0/17,35280,15169,1733244965,"['35280', '15169']",35280
51,35.199.80.0/20,15169,396982,1733244965,"['35280', '15169', '396982']",35280
52,103.60.148.0/22,13335,132839,1733193012,"['46997', '38008', '13335', '132839']",13335
53,103.60.148.0/22,13335,132839,1733193464,"['38008', '13335', '132839']",13335
54,109.230.248.0/23,199524,199610,1733190918,"['13030', '4637', '1221', '199524', '199610']",199524
55,109.230.248.0/23,199524,199610,1733191309,"['59919', '137409', '199524', '199610']","137409,199524"
56,109.230.248.0/23,199524,199610,1733191309,"['59919', '137409', '199524', '199610']","137409,199524"
57,109.230.248.0/23,199524,199610,1733191320,"['13030', '6461', '137409', '199524', '199610']","137409,199524"
58,109.230.248.0/23,199524,199610,1733191340,"['35426', '137409', '199524', '199610']","137409,199524"
