prefix,provider,origin,time,as_path,scrubber
103.71.154.0/24,136933,132325,1733243160.0,"['199524', '58453', '58453', '58453', '58453', '135056', '136933', '136933', '136933', '136933', '132325']",199524
103.71.154.0/24,136933,132325,1733243160.0,"['12859', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243160.0,"['58952', '59796', '59796', '59796', '59796', '59796', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243160.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243160.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243160.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243160.0,"['396998', '4637', '3491', '136933', '136933', '132325']",396998
103.71.154.0/24,136933,132325,1733243160.0,"['133210', '59796', '59796', '59796', '59796', '59796', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243160.0,"['142271', '59796', '59796', '59796', '59796', '59796', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243160.0,"['134823', '59796', '59796', '59796', '59796', '59796', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243160.0,"['1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243161.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243161.0,"['49544', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['49544', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['49544', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['200612', '3257', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['200612', '3257', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['47787', '6424', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['3212', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['31027', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34872', '24961', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['31027', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['31027', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['31027', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['31027', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34872', '24961', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['34872', '24961', '1299', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['34872', '24961', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34872', '24961', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34872', '24961', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['197580', '198477', '6762', '9002', '59796', '136933', '132325']",59796
